Sat Apr 25 06:25:59 +0000 2015,591850626201432065,123388787,"General consensus , never felt anything like this , lasting so long .",2
Sat Apr 25 06:27:12 +0000 2015,591850929479032833,123388787,"At least 4 aftershocks so far , all small .",1
Sat Apr 25 06:31:12 +0000 2015,591851938301353984,58058023,Hope things aren't that bad at the epicenter .,2
Sat Apr 25 06:36:44 +0000 2015,591853331191967745,1887554594,Hope everyone is okay after the 7.5 mag earthquake in Nepal moments ago !,2
Sat Apr 25 06:37:38 +0000 2015,591853555054551040,2613735318,7.7 magnitude earthquake shakes Pokhara in Nepal .,1
Sat Apr 25 06:37:38 +0000 2015,591853555054551040,2613735318,Tremors felt all over northern and eastern parts of India .,1
Sat Apr 25 06:37:58 +0000 2015,591853640282873856,2166120313,Hope everyone is okay after the 7.5 mag earthquake in Nepal moments ago !,2
Sat Apr 25 06:37:58 +0000 2015,591853640442249217,3056710763,Hope everyone is okay after the 7.5 mag earthquake in Nepal moments ago !,2
Sat Apr 25 06:37:58 +0000 2015,591853640488333312,3060506224,Hope everyone is okay after the 7.5 mag earthquake in Nepal moments ago !,2
Sat Apr 25 06:37:58 +0000 2015,591853640773672960,597844454,Hope everyone is okay after the 7.5 mag earthquake in Nepal moments ago !,2
Sat Apr 25 06:38:35 +0000 2015,591853793467244544,123388787,Glass entryway doors of the Yak and Yeti completely shattered .,1
Sat Apr 25 06:38:41 +0000 2015,591853818729508864,1351467175,7.4 on Reichter Scale can actually rock your world .,2
Sat Apr 25 06:41:22 +0000 2015,591854496810078208,38179116,Felt the NepalEarthquake sitting in Bhutan !,2
Sat Apr 25 06:41:22 +0000 2015,591854496810078208,38179116,7.5 to 7.7 it seems .,2
Sat Apr 25 06:41:22 +0000 2015,591854496810078208,38179116,Is it weird that I miss Japan's earthquakes ?,2
Sat Apr 25 06:41:25 +0000 2015,591854509632016384,311862443,tremor felt here in Rajshahi Bangladesh .,2
Sat Apr 25 06:41:34 +0000 2015,591854547074592768,123388787,Initial quake lasted about 2 minutes .,1
Sat Apr 25 06:41:41 +0000 2015,591854575906213888,14917151,Hope everyone is okay after the 7.5 mag earthquake in Nepal moments ago !,2
Sat Apr 25 06:42:28 +0000 2015,591854771742474241,17197378,80 Kms NW of Kathmandu valley puts the Epicentre at Gorkha district .,1
Sat Apr 25 06:42:31 +0000 2015,591854784837095424,118299237,"epicentre near Kathmandu , Some damage reported .",1
